x,y
0,-0.04788403320312362
1,-0.033518822751855026
2,-0.057460839843749056
3,-0.04788403320312362
4,-0.052672436033105896
5,-0.057460839843749056
6,-0.033518822751855026
7,-0.04309562939248046
8,-0.04309562939248046
9,-0.04309562939248046
10,-0.03830722656249996
11,-0.02394201611122959
12,-0.052672436033105896
13,-0.028730419921874528
14,-0.028730419921874528
15,-0.057460839843749056
16,-0.04788403320312362
17,-0.033518822751855026
18,-0.028730419921874528
19,-0.04788403320312362
20,-0.028730419921874528
21,-0.052672436033105896
22,-0.033518822751855026
23,-0.04788403320312362
24,-0.057460839843749056
25,-0.04309562939248046
26,-0.052672436033105896
27,-0.062249242673729555
28,-0.04309562939248046
29,-0.04309562939248046
30,-0.04788403320312362
31,-0.04788403320312362
32,-0.057460839843749056
33,-0.04788403320312362
34,-0.052672436033105896
35,-0.062249242673729555
36,-0.052672436033105896
37,-0.04309562939248046
38,-0.033518822751855026
39,-0.033518822751855026
40,-0.028730419921874528
41,-0.019153613281249093
42,-0.033518822751855026
43,-0.057460839843749056
44,-0.06703764648437449
45,-0.06703764648437449
46,-0.052672436033105896
47,-0.052672436033105896
48,-0.028730419921874528
49,-0.009576806640623658
50,-0.028730419921874528
51,-0.03830722656249996
52,-0.028730419921874528
53,-0.04788403320312362
54,-0.04309562939248046
55,-0.028730419921874528
56,-0.06703764648437449
57,-0.052672436033105896
58,-0.07661445312499993
59,-0.07661445312499993
60,-0.06703764648437449
61,-0.052672436033105896
62,-0.04788403320312362
63,-0.062249242673729555
64,-0.04788403320312362
65,-0.052672436033105896
66,-0.03830722656249996
67,-0.033518822751855026
68,-0.04309562939248046
69,-0.052672436033105896
70,-0.03830722656249996
71,-0.057460839843749056
72,-0.04309562939248046
73,-0.06703764648437449
74,-0.062249242673729555
75,-0.057460839843749056
76,-0.057460839843749056
77,-0.07661445312499993
78,-0.052672436033105896
79,-0.07182604931435499
80,-0.057460839843749056
81,-0.062249242673729555
82,-0.07182604931435499
83,-0.062249242673729555
84,-0.062249242673729555
85,-0.04309562939248046
86,-0.04309562939248046
87,-0.03830722656249996
88,-0.04788403320312362
89,-0.057460839843749056
90,-0.06703764648437449
91,-0.057460839843749056
92,-0.04309562939248046
93,-0.04309562939248046
94,-0.04788403320312362
95,-0.052672436033105896
96,-0.057460839843749056
97,-0.04309562939248046
98,-0.04309562939248046
99,-0.04309562939248046
100,-0.062249242673729555
101,-0.06703764648437449
102,-0.057460839843749056
103,-0.062249242673729555
104,-0.052672436033105896
105,-0.062249242673729555
106,-0.052672436033105896
107,-0.052672436033105896
108,-0.04788403320312362
109,-0.062249242673729555
110,-0.057460839843749056
111,-0.04309562939248046
112,-0.057460839843749056
113,-0.057460839843749056
114,-0.08140285595498042
115,-0.07661445312499993
116,-0.04788403320312362
117,-0.057460839843749056
118,-0.03830722656249996
119,-0.03830722656249996
120,-0.052672436033105896
121,-0.057460839843749056
122,-0.057460839843749056
123,-0.08619125976562358
124,-0.057460839843749056
125,-0.052672436033105896
126,-0.04788403320312362
127,-0.057460839843749056
128,-0.057460839843749056
129,-0.057460839843749056
130,-0.07182604931435499
131,-0.062249242673729555
132,-0.04788403320312362
133,-0.057460839843749056
134,-0.062249242673729555
135,-0.04309562939248046
136,-0.07182604931435499
137,-0.057460839843749056
138,-0.062249242673729555
139,-0.04309562939248046
140,-0.04788403320312362
141,-0.057460839843749056
142,-0.052672436033105896
143,-0.03830722656249996
144,-0.062249242673729555
145,-0.06703764648437449
146,-0.052672436033105896
147,-0.062249242673729555
148,-0.04788403320312362
149,-0.04788403320312362
150,-0.07182604931435499
151,-0.07182604931435499
152,-0.07182604931435499
153,-0.06703764648437449
154,-0.052672436033105896
155,-0.04309562939248046
156,-0.04788403320312362
157,-0.04788403320312362
158,-0.057460839843749056
159,-0.062249242673729555
160,-0.052672436033105896
161,-0.04788403320312362
162,-0.052672436033105896
163,-0.057460839843749056
164,-0.033518822751855026
165,-0.04309562939248046
166,-0.04788403320312362
167,-0.052672436033105896
168,-0.04309562939248046
169,-0.033518822751855026
170,-0.057460839843749056
171,-0.06703764648437449
172,-0.06703764648437449
173,-0.062249242673729555
174,-0.057460839843749056
175,-0.04788403320312362
176,-0.03830722656249996
177,-0.057460839843749056
178,-0.04788403320312362
179,-0.03830722656249996
180,-0.03830722656249996
181,-0.033518822751855026
182,-0.028730419921874528
183,-0.028730419921874528
184,-0.052672436033105896
185,-0.04309562939248046
186,-0.057460839843749056
187,-0.04309562939248046
188,-0.052672436033105896
189,-0.07182604931435499
190,-0.057460839843749056
191,-0.057460839843749056
192,-0.04788403320312362
193,-0.062249242673729555
194,-0.052672436033105896
195,-0.052672436033105896
196,-0.052672436033105896
197,-0.04309562939248046
198,-0.057460839843749056
199,-0.028730419921874528
200,-0.04309562939248046
201,-0.052672436033105896
202,-0.057460839843749056
203,-0.04788403320312362
204,-0.033518822751855026
205,-0.04309562939248046
206,-0.04788403320312362
207,-0.03830722656249996
208,-0.03830722656249996
209,-0.033518822751855026
210,-0.052672436033105896
211,-0.03830722656249996
212,-0.03830722656249996
213,-0.028730419921874528
214,-0.03830722656249996
215,-0.03830722656249996
216,-0.03830722656249996
217,-0.04788403320312362
218,-0.03830722656249996
219,-0.062249242673729555
220,-0.062249242673729555
221,-0.02394201611122959
222,-0.033518822751855026
223,-0.033518822751855026
224,-0.04788403320312362
225,-0.057460839843749056
226,-0.07182604931435499
227,-0.04309562939248046
228,-0.03830722656249996
229,-0.033518822751855026
230,-0.04788403320312362
231,-0.03830722656249996
232,-0.052672436033105896
233,-0.04309562939248046
234,-0.033518822751855026
235,-0.03830722656249996
236,-0.04309562939248046
237,-0.033518822751855026
238,-0.02394201611122959
239,-0.04309562939248046
240,-0.057460839843749056
241,-0.04309562939248046
242,-0.04309562939248046
243,-0.04309562939248046
244,-0.04309562939248046
245,-0.03830722656249996
246,-0.03830722656249996
247,-0.057460839843749056
248,-0.07661445312499993
249,-0.057460839843749056
250,-0.057460839843749056
251,-0.03830722656249996
252,-0.03830722656249996
253,-0.03830722656249996
254,-0.057460839843749056
255,-0.04309562939248046
256,-0.03830722656249996
257,-0.019153613281249093
258,-0.028730419921874528
259,-0.057460839843749056
260,-0.04788403320312362
261,-0.06703764648437449
262,-0.04788403320312362
263,-0.033518822751855026
264,-0.033518822751855026
265,-0.028730419921874528
266,-0.028730419921874528
267,-0.028730419921874528
268,-0.028730419921874528
269,-0.02394201611122959
270,-0.04309562939248046
271,-0.02394201611122959
272,-0.03830722656249996
273,-0.02394201611122959
274,-0.062249242673729555
275,-0.052672436033105896
276,-0.057460839843749056
277,-0.07182604931435499
278,-0.04309562939248046
279,-0.057460839843749056
280,-0.04788403320312362
281,-0.019153613281249093
282,-0.04309562939248046
283,-0.057460839843749056
284,-0.057460839843749056
285,-0.052672436033105896
286,-0.03830722656249996
287,-0.033518822751855026
288,-0.028730419921874528
289,-0.033518822751855026
290,-0.04788403320312362
291,-0.033518822751855026
292,-0.028730419921874528
293,-0.04309562939248046
294,-0.06703764648437449
295,-0.057460839843749056
296,-0.052672436033105896
297,-0.052672436033105896
298,-0.04309562939248046
299,-0.03830722656249996
300,-0.03830722656249996
301,-0.028730419921874528
302,-0.033518822751855026
303,-0.033518822751855026
304,-0.04309562939248046
305,-0.052672436033105896
306,-0.033518822751855026
307,-0.052672436033105896
308,-0.03830722656249996
309,-0.03830722656249996
310,-0.04788403320312362
311,-0.03830722656249996
312,-0.04309562939248046
313,-0.04309562939248046
314,-0.03830722656249996
315,-0.052672436033105896
316,-0.04788403320312362
317,-0.057460839843749056
318,-0.033518822751855026
319,-0.033518822751855026
320,-0.019153613281249093
321,-0.033518822751855026
322,-0.03830722656249996
323,-0.04788403320312362
324,-0.04309562939248046
325,-0.052672436033105896
326,-0.052672436033105896
327,-0.057460839843749056
328,-0.04788403320312362
329,-0.03830722656249996
330,-0.052672436033105896
331,-0.028730419921874528
332,-0.028730419921874528
333,-0.02394201611122959
334,-0.028730419921874528
335,-0.019153613281249093
336,-0.04788403320312362
337,-0.04309562939248046
338,-0.03830722656249996
339,-0.033518822751855026
340,-0.04309562939248046
341,-0.04309562939248046
342,-0.04788403320312362
343,-0.028730419921874528
344,-0.03830722656249996
345,-0.04788403320312362
346,-0.04309562939248046
347,-0.028730419921874528
348,-0.033518822751855026
349,-0.03830722656249996
350,-0.052672436033105896
351,-0.04309562939248046
352,-0.03830722656249996
353,-0.02394201611122959
354,-0.03830722656249996
355,-0.028730419921874528
356,-0.028730419921874528
357,-0.019153613281249093
358,-0.033518822751855026
359,-0.033518822751855026
360,-0.03830722656249996
361,-0.02394201611122959
362,-0.033518822751855026
363,-0.028730419921874528
364,-0.009576806640623658
365,-0.033518822751855026
366,-0.03830722656249996
367,-0.04788403320312362
368,-0.04788403320312362
369,-0.04788403320312362
370,-0.04309562939248046
371,-0.03830722656249996
372,-0.033518822751855026
373,-0.033518822751855026
374,-0.04788403320312362
375,-0.028730419921874528
376,-0.03830722656249996
377,-0.04309562939248046
378,-0.04788403320312362
379,-0.028730419921874528
380,-0.03830722656249996
381,-0.033518822751855026
382,-0.014365209470605933
383,-0.028730419921874528
384,-0.04309562939248046
385,-0.04309562939248046
386,-0.028730419921874528
387,-0.03830722656249996
388,-0.057460839843749056
389,-0.04788403320312362
390,-0.033518822751855026
391,-0.04309562939248046
392,-0.052672436033105896
393,-0.02394201611122959
394,-0.028730419921874528
395,-0.028730419921874528
396,-0.04788403320312362
397,-0.04788403320312362
398,-0.028730419921874528
399,-0.04788403320312362
400,-0.04788403320312362
401,-0.03830722656249996
402,-0.04309562939248046
403,-0.019153613281249093
404,-0.03830722656249996
405,-0.028730419921874528
406,-0.04788403320312362
407,-0.04788403320312362
408,-0.033518822751855026
409,-0.04788403320312362
410,-0.04309562939248046
411,-0.028730419921874528
412,-0.03830722656249996
413,-0.03830722656249996
414,-0.02394201611122959
415,-0.03830722656249996
416,-0.04788403320312362
417,-0.028730419921874528
418,-0.033518822751855026
419,-0.033518822751855026
420,-0.04788403320312362
421,-0.03830722656249996
422,-0.04788403320312362
423,-0.04309562939248046
424,-0.04309562939248046
425,-0.02394201611122959
426,-0.02394201611122959
427,-0.014365209470605933
428,-0.033518822751855026
429,-0.028730419921874528
430,-0.02394201611122959
431,-0.019153613281249093
432,-0.03830722656249996
433,-0.04309562939248046
434,-0.028730419921874528
435,-0.03830722656249996
436,-0.03830722656249996
437,-0.033518822751855026
438,-0.033518822751855026
439,-0.03830722656249996
440,-0.04788403320312362
441,-0.03830722656249996
442,-0.014365209470605933
443,-0.04309562939248046
444,-0.028730419921874528
445,-0.03830722656249996
446,-0.019153613281249093
447,-0.019153613281249093
448,-0.033518822751855026
449,-0.04309562939248046
450,-0.04309562939248046
451,-0.057460839843749056
452,-0.028730419921874528
453,-0.033518822751855026
454,-0.028730419921874528
455,-0.019153613281249093
456,-0.033518822751855026
457,-0.019153613281249093
458,-0.028730419921874528
459,-0.028730419921874528
460,-0.04309562939248046
461,-0.04309562939248046
462,-0.033518822751855026
463,-0.03830722656249996
464,-0.04788403320312362
465,-0.07182604931435499
466,-0.033518822751855026
467,-0.04309562939248046
468,-0.033518822751855026
469,-0.014365209470605933
470,-0.019153613281249093
471,-0.033518822751855026
472,-0.04309562939248046
473,-0.03830722656249996
474,-0.04309562939248046
475,-0.04309562939248046
476,-0.02394201611122959
477,-0.033518822751855026
478,-0.052672436033105896
479,-0.033518822751855026
480,-0.052672436033105896
481,-0.062249242673729555
482,-0.04788403320312362
483,-0.02394201611122959
484,-0.028730419921874528
485,-0.07182604931435499
486,-0.062249242673729555
487,-0.057460839843749056
488,-0.04309562939248046
489,-0.062249242673729555
490,-0.04788403320312362
491,-0.033518822751855026
492,-0.03830722656249996
493,-0.03830722656249996
494,-0.03830722656249996
495,-0.03830722656249996
496,-0.019153613281249093
497,-0.03830722656249996
498,-0.057460839843749056
499,-0.04788403320312362
500,-0.057460839843749056
501,-0.028730419921874528
502,-0.052672436033105896
503,-0.04309562939248046
504,-0.04309562939248046
505,-0.02394201611122959
506,-0.028730419921874528
507,-0.033518822751855026
508,-0.04309562939248046
509,-0.04309562939248046
510,-0.04788403320312362
511,-0.04788403320312362
512,-0.04788403320312362
513,-0.04309562939248046
514,-0.057460839843749056
515,-0.052672436033105896
516,-0.04309562939248046
517,-0.04788403320312362
518,-0.04788403320312362
519,-0.052672436033105896
520,-0.04788403320312362
521,-0.03830722656249996
522,-0.04788403320312362
523,-0.033518822751855026
524,-0.009576806640623658
525,-0.04309562939248046
526,-0.033518822751855026
527,-0.02394201611122959
528,-0.04788403320312362
529,-0.052672436033105896
530,-0.04309562939248046
531,-0.052672436033105896
532,-0.028730419921874528
533,-0.02394201611122959
534,-0.033518822751855026
535,-0.03830722656249996
536,-0.019153613281249093
537,-0.014365209470605933
538,-0.028730419921874528
539,-0.028730419921874528
540,-0.019153613281249093
541,-0.028730419921874528
542,-0.04309562939248046
543,-0.03830722656249996
544,-0.04309562939248046
545,-0.033518822751855026
546,-0.04309562939248046
547,-0.057460839843749056
548,-0.03830722656249996
549,-0.019153613281249093
550,-0.014365209470605933
551,-0.033518822751855026
552,-0.028730419921874528
553,-0.014365209470605933
554,-0.052672436033105896
555,-0.03830722656249996
556,-0.019153613281249093
557,-0.02394201611122959
558,-0.028730419921874528
559,-0.03830722656249996
560,-0.04309562939248046
561,-0.028730419921874528
562,-0.033518822751855026
563,-0.033518822751855026
564,-0.03830722656249996
565,-0.04309562939248046
566,-0.033518822751855026
567,-0.03830722656249996
568,-0.033518822751855026
569,-0.03830722656249996
570,-0.028730419921874528
571,-0.04309562939248046
572,-0.04309562939248046
573,-0.04788403320312362
574,-0.03830722656249996
575,-0.033518822751855026
576,-0.033518822751855026
577,-0.04788403320312362
578,-0.04309562939248046
579,-0.03830722656249996
580,-0.033518822751855026
581,-0.028730419921874528
582,-0.028730419921874528
583,-0.019153613281249093
584,-0.028730419921874528
585,-0.033518822751855026
586,-0.028730419921874528
587,-0.03830722656249996
588,-0.033518822751855026
589,-0.03830722656249996
590,-0.04309562939248046
591,-0.02394201611122959
592,-0.04788403320312362
593,-0.028730419921874528
594,-0.028730419921874528
595,-0.009576806640623658
596,-0.03830722656249996
597,-0.04309562939248046
598,-0.057460839843749056
599,-0.057460839843749056
600,-0.03830722656249996
601,-0.033518822751855026
602,-0.03830722656249996
603,-0.014365209470605933
604,-0.03830722656249996
605,-0.04309562939248046
606,-0.033518822751855026
607,-0.03830722656249996
608,-0.03830722656249996
609,-0.057460839843749056
610,-0.028730419921874528
611,-0.033518822751855026
612,-0.033518822751855026
613,-0.009576806640623658
614,-0.019153613281249093
615,-0.004788402829980498
616,-0.014365209470605933
617,-0.014365209470605933
618,-0.033518822751855026
619,-0.028730419921874528
620,-0.014365209470605933
621,-0.004788402829980498
622,0.02873042482520205
623,0.07661445312499993
624,0.12449849123145107
625,0.15322890624999985
626,0.13407529296875076
627,0.16280571779395103
628,0.14365210451270194
629,0.12449849123145107
630,0.11492167968749989
631,0.06703765138770201
632,0.03830722656249996
633,0.0
634,-0.019153613281249093
635,-0.04309562939248046
636,-0.07661445312499993
637,-0.08619125976562358
638,-0.10534487304687445
639,-0.10534487304687445
640,-0.13886369579872948
641,-0.12449848632812355
642,-0.10534487304687445
643,-0.10055646923622952
644,-0.09097966259560586
645,-0.07182604931435499
646,-0.07182604931435499
647,-0.057460839843749056
648,-0.033518822751855026
649,-0.03830722656249996
650,-0.02394201611122959
651,-0.02394201611122959
652,-0.014365209470605933
653,0.02873042482520205
654,0.05746083984375083
655,0.07661445312499993
656,0.10534487795020198
657,0.10534487795020198
658,0.0957680664062508
659,0.0957680664062508
660,0.06703765138770201
661,0.03830722656249996
662,0.01915361328125087
663,0.01915361328125087
664,0.03830722656249996
665,0.01915361328125087
666,0.0
667,-0.04309562939248046
668,-0.057460839843749056
